№,Заголовок,Группа,Ключ,Пачка,Статус,Дата,Ссылка,Просмотры,Контакты,Цена
1,Автоматизация бизнеса и интеграция ИИ,Боты,автоматизация бизнеса,1,черновик,,,,,договорная
2,"ИИ-чат-бот по вашей базе знаний (FAQ, прайс)",Боты,чат-бот для бизнеса,2,черновик,,,,,договорная
3,Бот для приёма и квалификации заявок,Боты,квалификация лидов,2,черновик,,,,,договорная
4,Telegram-бот учёта заказов: голос и текст,Боты,телеграм бот учёт заказов,1,черновик,,,,,договорная
5,Голос в задачи и календарь (ИИ-ввод),Боты,голосовой ввод задач,3,черновик,,,,,договорная
6,Настройка n8n на вашем сервере,n8n,настройка n8n,2,черновик,,,,,договорная
7,Пайплайн: почта - ИИ - таблица - Telegram,n8n,автоматизация почты,2,черновик,,,,,договорная
8,Автоматизация разбора входящей почты,n8n,триаж писем,3,черновик,,,,,договорная
9,"Связка сервисов через API (Make, n8n)",n8n,интеграция сервисов,3,черновик,,,,,договорная
10,"Авто-выгрузки, отчёты, синхронизация",n8n,автоматические отчёты,3,черновик,,,,,договорная
11,Распознавание чертежей ЕСКД - данные,Документы,распознавание чертежей,1,черновик,,,,,договорная
12,Извлечение данных из счетов и накладных,Документы,распознавание счетов,2,черновик,,,,,договорная
13,Разбор PDF и сканов в таблицу (ИИ),Документы,pdf в таблицу,3,черновик,,,,,договорная
14,Пакетная обработка документов нейросетью,Документы,пакетная обработка,3,черновик,,,,,договорная
15,Чертёж - спецификация для 1С и Excel,Документы,чертёж в спецификацию,3,черновик,,,,,договорная
16,Калькулятор себестоимости по чертежу,Расчёты,калькулятор себестоимости,1,черновик,,,,,договорная
17,Расчёт материалов и КИМ по чертежу,Расчёты,расчёт материалов,2,черновик,,,,,договорная
18,Авто-генерация КП и спецификаций,Расчёты,автоматическое кп,2,черновик,,,,,договорная
19,Расчёт трудозатрат и ФОТ по чертежу,Расчёты,расчёт трудозатрат,3,черновик,,,,,договорная
20,Excel с формулами под ваш прайс,Расчёты,excel калькулятор,3,черновик,,,,,договорная
21,Быстрый сайт на Astro + РФ-хостинг,Сайты,быстрый сайт,1,черновик,,,,,договорная
22,Переезд сайта без потери позиций SEO,Сайты,переезд без потери позиций,2,черновик,,,,,договорная
23,Семантическое ядро и SEO-аудит сайта,Сайты,семантическое ядро,3,черновик,,,,,договорная
24,Автонаполнение каталога и портфолио,Сайты,автоматизация каталога,3,черновик,,,,,договорная
25,SEO-тексты и мета под ключевые запросы,Сайты,seo тексты,3,черновик,,,,,договорная
26,ИИ-фото товаров для каталога и карточек,Контент,генерация фото товаров,2,черновик,,,,,договорная
27,Постоянная ИИ-модель для бренда (фото),Контент,ии модель бренда,2,черновик,,,,,договорная
28,Виртуальная примерка одежды (ИИ),Контент,виртуальная примерка,3,черновик,,,,,договорная
29,ИИ-видео из фото для соцсетей,Контент,ии видео из фото,3,черновик,,,,,договорная
30,Контент-план и посты с ИИ под ключи,Контент,контент план,3,черновик,,,,,договорная
